granularity,category,feature_set,reference,duplicate_of_A_lag1,block,point_pct,ci_lo_pct,ci_hi_pct,p_boot,ci_excludes_zero
weekly,N02BA,B_rich,"LR-XGB (residual, tanpa gerbang)",True,4,-0.5763282886049326,-9.947254533702036,8.533147335622115,0.99,False
weekly,N02BE,A_lag1,Naive,False,4,-4.196861425428233,-11.752375096789647,3.9207857649527025,0.282,False
weekly,N02BE,A_lag1,S1 [linear],False,4,0.0,0.0,0.0,1.0,False
weekly,N02BE,A_lag1,XGBoost,False,4,5.376904201038135,-3.982518685860095,19.634137358726825,0.331,False
weekly,N02BE,A_lag1,"LR-XGB (residual, tanpa gerbang)",False,4,4.2284310638702305,-4.275619064029443,15.478829551687062,0.387,False
weekly,N02BE,B_rich,Naive,True,4,-4.196861425428233,-13.297424653222052,5.088417308800475,0.298,False
weekly,N02BE,B_rich,S1 [linear],True,4,0.0,0.0,0.0,1.0,False
weekly,N02BE,B_rich,XGBoost,True,4,5.376904201038135,-4.118869063578055,18.006623762665104,0.328,False
weekly,N02BE,B_rich,"LR-XGB (residual, tanpa gerbang)",True,4,4.2284310638702305,-4.192077660140197,14.679988941375075,0.402,False
weekly,N05B,A_lag1,Naive,False,4,-16.285433716396913,-21.350838888985535,-9.774864593653641,0.0005,True
weekly,N05B,A_lag1,S1 [linear],False,4,0.0,0.0,0.0,1.0,False
weekly,N05B,A_lag1,XGBoost,False,4,-5.036252439319067,-13.938574254132819,3.131911020393831,0.243,False
weekly,N05B,A_lag1,"LR-XGB (residual, tanpa gerbang)",False,4,-4.4546205412400175,-12.1097309319333,3.1705419179872725,0.265,False
weekly,N05B,B_rich,Naive,True,4,-16.285433716396913,-21.34820716545959,-9.710875238282526,0.0005,True
weekly,N05B,B_rich,S1 [linear],True,4,0.0,0.0,0.0,1.0,False
weekly,N05B,B_rich,XGBoost,True,4,-5.036252439319067,-14.39014662578571,3.848273444628127,0.249,False
weekly,N05B,B_rich,"LR-XGB (residual, tanpa gerbang)",True,4,-4.4546205412400175,-12.614535390175192,3.575700147246258,0.255,False
weekly,N05C,A_lag1,Naive,False,4,-26.730606335405906,-34.780368443451096,-16.948062264097796,0.0005,True
weekly,N05C,A_lag1,S1 [linear],False,4,0.0,0.0,0.0,1.0,False
weekly,N05C,A_lag1,XGBoost,False,4,-5.0478707713832005,-9.215204101974878,0.4327516242657144,0.076,False
weekly,N05C,A_lag1,"LR-XGB (residual, tanpa gerbang)",False,4,-5.361693294252257,-9.752396059549588,0.36926533470970546,0.066,False
weekly,N05C,B_rich,Naive,False,4,-23.81181542715618,-34.371088402075436,-10.038137111772627,0.0005,True
weekly,N05C,B_rich,S1 [linear],False,4,4.481690208040656,-2.9806859149152474,12.172866097338854,0.243,False
weekly,N05C,B_rich,XGBoost,False,4,5.61598397894989,0.34563905122855565,10.914366496077992,0.035,True
weekly,N05C,B_rich,"LR-XGB (residual, tanpa gerbang)",False,4,-4.092733935364579,-6.35015417036666,-1.706393787812584,0.003,True
weekly,R03,A_lag1,Naive,False,4,-8.474252040156937,-22.57303843233774,4.95971099291039,0.156,False
weekly,R03,A_lag1,S1 [linear],False,4,0.0,0.0,0.0,1.0,False
weekly,R03,A_lag1,XGBoost,False,4,-0.070024170036731,-5.1433528980608445,5.155316960131295,0.999,False
