model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s
LR,M01AB,B_rich,acf_train,15,14,1464,313,315,2014-01-16,2018-01-18,2018-01-19,2018-11-27,2018-11-28,2019-10-08,{},1,none,42,7.442786435810292,2.728147070047781,2.185798764972568,-0.022233094467990933,0.5531401022995662,47.61426106789995,1.3504585475198418,8.400351597607187,2.898336004953047,2.236141093834342,0.001072297548633916,0.5456107006832026,46.47373967143005,1.7875246967691256,0.016
LR-XGB (residual),M01AB,B_rich,acf_train,15,14,1464,313,315,2014-01-16,2018-01-18,2018-01-19,2018-11-27,2018-11-28,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,7.662151093074297,2.7680590841010417,2.227152517250457,-0.05236183917212145,0.561232384339191,48.3880015138046,1.347079615013882,8.470201254639736,2.910361017921958,2.246003350747022,-0.007233873521207412,0.5478744050088847,46.79572882290645,1.8648842219551223,8.692
LR,M01AE,B_rich,acf_train,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,{},1,none,42,4.001935488421122,2.000483813586384,1.5815566832610755,-0.0005010255835395938,0.5177304254308,43.629559076413784,8.745514089424283,4.850956322761249,2.2024886657509155,1.6781726449236807,0.1250099498321069,0.573988431155052,48.66748692964677,3.912127464558648,0.019
LR-XGB (residual),M01AE,B_rich,acf_train,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,4.063296167159062,2.0157619321633846,1.5908391756024796,-0.01584145827802863,0.5216844423425749,43.83183715189777,8.815935401384824,4.79214177134234,2.189096108292722,1.6817489540488528,0.13561861003693432,0.570498209768618,48.93723108997458,3.8874946723935984,9.884
LR,N02BA,B_rich,acf_train,15,14,1464,313,315,2014-01-16,2018-01-18,2018-01-19,2018-11-27,2018-11-28,2019-10-08,{},1,none,42,4.713577637708429,2.1710775291795614,1.7632764704435118,-0.08654392516933096,0.6917215661982926,60.217558367842614,2.9535534358527586,4.094116661765698,2.023392364759168,1.6188897199414833,-0.05541077425615648,0.6587448657941584,57.03986788892952,4.003165760064926,0.015
LR-XGB (residual),N02BA,B_rich,acf_train,15,14,1464,313,315,2014-01-16,2018-01-18,2018-01-19,2018-11-27,2018-11-28,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,4.643049046098801,2.15477354868181,1.750884537928971,-0.07028612299564174,0.6865269958646237,59.96981946253131,3.059668855407681,4.119008631262557,2.029534092165627,1.624385889903175,-0.061827604788804225,0.6607443946381816,57.393237044823685,3.9482811036019254,8.584
LR,N02BE,B_rich,acf_train,8,7,1469,314,316,2014-01-09,2018-01-16,2018-01-17,2018-11-26,2018-11-27,2019-10-08,{},1,none,42,131.59570924871724,11.471517303683818,8.999397726523645,0.2883366698110066,0.38416403327059245,31.446338459762437,0.529807391626771,162.48508113220595,12.74696360441207,9.542995028249289,0.4158545006230979,0.4327810165109685,34.53179270161936,0.5049625638981116,0.013
LR-XGB (residual),N02BE,B_rich,acf_train,8,7,1469,314,316,2014-01-09,2018-01-16,2018-01-17,2018-11-26,2018-11-27,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,131.61247151852984,11.4722478842871,8.969247233327541,0.28824602025393176,0.3841884993271529,31.395587166366322,0.5247157983663384,161.26518700989536,12.699023073051539,9.320831678500587,0.4202401073280253,0.43115335422697915,33.80038941425892,0.4910143562375026,7.056
LR,N05B,B_rich,acf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},1,none,42,22.121535572971776,4.703353651701281,3.4966883742269155,0.03819274004682072,0.5131464395559379,39.37344562383443,0.8682197354640178,19.658609097174086,4.433803006130751,3.492097883087328,-0.05180351489516477,0.5202530178203465,44.6846688968021,1.2961836959440327,0.012
LR-XGB (residual),N05B,B_rich,acf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,22.318606451802413,4.72425723810658,3.501918219919053,0.0296244288028108,0.5154270677485359,39.402252132106504,0.8753519513238462,19.893133880008307,4.460171956327279,3.500961943737221,-0.06435140115180316,0.5233470943721303,44.79178007004501,1.279937258995549,5.887
