model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s,note
LR+XGB (average),N02BA,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,60.07320691952933,7.750690738220003,6.548166921622111,-0.9462777043518598,0.35141670853390444,28.202579016012862,0.48270547747527776,48.51446303015901,6.965232446240327,5.4595947615700995,-0.6989470602153003,0.3297830194298338,25.719338363174,0.9560909482682632,4.272,
LR-XGB (residual),N02BA,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,69.66963558900427,8.346833866143752,6.913166634347476,-1.2571869452355888,0.37844586798636665,29.223996410418017,0.5036522542469116,50.87481615369641,7.132658421212697,5.488692541689199,-0.7816051945083868,0.3377101408839319,25.65940823193898,0.9564197414968693,4.508,
Naive,N02BA,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},0,none,42,49.194444444444436,7.01387513750027,5.391111111111111,-0.5938228589736254,0.31800945207809794,25.109810773395424,0.3725147465421816,38.93119565217392,6.2394868100007965,5.060869565217392,-0.3633468510784168,0.2954211242448012,25.279798597319925,0.73400085945753,0.0,
SeasonalNaive(s=52),N02BA,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},0,none,42,65.91587345219507,8.118859122573507,6.734814814666667,-1.1355709382177106,0.368109481628018,30.532345050571653,0.437846578175141,51.941793478260884,7.207065524765325,5.744565217391305,-0.8189700930492263,0.3412330957122175,27.667323161502104,0.8050507911847538,0.0,
LR,N02BA,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},1,none,42,55.76310318721868,7.467469664298522,6.280953746808672,-0.806637102030147,0.33857545077424034,27.31280964135922,0.47435270586959954,47.144018591691996,6.866150201655364,5.402531053338721,-0.6509549274676998,0.325091770136531,25.549350364411723,0.9667978071238208,0.009,
GRNN,N02BA,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""sigma"": 0.5}",16,standard,42,65.35102454081611,8.08399805423134,6.894950045188434,-1.1172707192196318,0.36652887903315906,29.525737796782597,0.508825525493907,51.61069339179868,7.184058281486772,5.746220526436489,-0.8073751689091342,0.3401437712401745,26.915091369599946,1.0044788165164453,0.015,
P_NN,N02BA,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""sigma"": 0.75}",16,standard,42,36.06838004418403,6.005695633661769,5.1520325,-0.16855895517813213,0.2722985425841608,23.220241153380343,0.36501400848410837,39.21585748425951,6.262256580838852,4.765804347826087,-0.37331553572564613,0.29649920510379,23.048364243717952,0.911049224151806,0.026,
RBFNN,N02BA,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""alpha"": 0.01, ""gamma"": 1.0, ""n_centers"": 5}",60,standard,42,55.929974518037156,7.478634535664726,6.247158233476676,-0.8120434714803841,0.33908166660444605,27.149869243270615,0.4764621555614791,46.00535120573704,6.782724467773775,5.425266062247233,-0.6110794864733595,0.3211418100124478,25.72504963356661,0.9219435992739047,4.825,
XGBoost,N02BA,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,67.6721896799193,8.226310818338881,6.81726533677843,-1.1924728299444163,0.3729813469272037,28.900227202,0.5011228948549035,51.29036438218966,7.161729147502694,5.5211410356604524,-0.7961574413453227,0.3390865532243569,25.80424506409592,0.9476206007750516,4.389,
LR+XGB (average),N02BA,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,60.07320691952933,7.750690738220003,6.548166921622111,-0.9462777043518598,0.35141670853390444,28.202579016012862,0.48270547747527776,48.51446303015901,6.965232446240327,5.4595947615700995,-0.6989470602153003,0.3297830194298338,25.719338363174,0.9560909482682632,4.361,
LR-XGB (residual),N02BA,B_rich,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,69.66963558900427,8.346833866143752,6.913166634347476,-1.2571869452355888,0.37844586798636665,29.223996410418017,0.5036522542469116,50.87481615369641,7.132658421212697,5.488692541689199,-0.7816051945083868,0.3377101408839319,25.65940823193898,0.9564197414968693,6.127,
Naive,N02BE,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},0,none,42,1680.9681508666667,40.999611594095214,33.66975555555555,0.5778299809887086,0.19660834306448544,16.091032387206173,0.19010275891329437,2872.5362513913046,53.59604697541886,41.5418695652174,0.6070022317317492,0.2638605401116403,20.08585888444381,0.3344249193079274,0.0,
SeasonalNaive(s=52),N02BE,A_lag1,pacf_train,1,1,210,45,46,2014-01-12,2018-01-14,2018-01-21,2018-11-25,2018-12-02,2019-10-13,{},0,none,42,4928.619016884084,70.20412393074986,52.44873333333334,-0.23780761877290746,0.3366548107569486,28.57719475004721,0.2851328006650804,3827.384787608696,61.86586124518672,46.530130434782606,0.47636738122781275,0.3045739468456235,22.53129637433621,0.3785512957226687,0.0,
