config,stage1,learner,setting,subsampled,val_r2,test_r2_refit,is_best_on_val,runtime_s
pharma|daily|N02BA|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}",False,-0.362975885996049,,False,0.49
pharma|daily|N02BA|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 500, ""subsample"": 0.8}",False,-0.4056746486123408,,False,0.83
pharma|daily|N02BA|A_lag1,linear,LightGBM,"leaves=15,n=100",False,-0.2334942675178386,-0.1951943006188725,True,0.24
pharma|daily|N02BA|A_lag1,linear,LightGBM,"leaves=15,n=400",False,-0.2447568286525057,,False,0.89
pharma|daily|N02BA|A_lag1,linear,LightGBM,"leaves=63,n=100",False,-0.2405450374676647,,False,0.3
pharma|daily|N02BA|A_lag1,linear,LightGBM,"leaves=63,n=400",False,-0.2498090227315599,,False,1.26
pharma|daily|N02BA|A_lag1,linear,RandomForest,"depth=6,leaf=5",False,-0.229190695947284,,False,0.58
pharma|daily|N02BA|A_lag1,linear,RandomForest,"depth=6,leaf=50",False,-0.2020870386415731,-0.1799908715420264,True,0.7
pharma|daily|N02BA|A_lag1,linear,RandomForest,"depth=None,leaf=5",False,-0.2762162593318666,,False,0.59
pharma|daily|N02BA|A_lag1,linear,RandomForest,"depth=None,leaf=50",False,-0.2021897390801272,,False,0.64
pharma|daily|N02BA|A_lag1,linear,kNN,k=10,False,-0.4914716937625989,,False,0.01
pharma|daily|N02BA|A_lag1,linear,kNN,k=50,False,-0.2680927685474241,,False,0.01
pharma|daily|N02BA|A_lag1,linear,kNN,k=200,False,-0.2058396998453422,-0.1647121980334451,True,0.02
pharma|daily|N02BA|A_lag1,linear,Ridge,alpha=0.1,False,-0.2043779383455608,-0.1783803437198192,True,0.0
pharma|daily|N02BA|A_lag1,linear,Ridge,alpha=10,False,-0.2043975821128307,,False,0.0
pharma|daily|N02BA|A_lag1,linear,Ridge,alpha=1000,False,-0.2055836900602925,,False,0.0
pharma|daily|N02BA|A_lag1,linear,MLP,"hidden=(32,)",False,-0.1671129538785813,-0.1725379197144811,True,0.05
pharma|daily|N02BA|A_lag1,linear,MLP,"hidden=(64, 32)",False,-0.1928368073894315,,False,0.11
pharma|daily|N02BE|A_lag1,linear,XGBoost,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",False,-0.0358840175845072,0.01549479352617,True,0.14
