varian,S1,w,RMSE asli,RMSE log
V3_sales_lagged,structural,0.75,1010.6124116776965,0.13003296636594674
V3_sales_lagged,structural,0.8,1007.01218993323,0.12960462801937184
V3_sales_lagged,structural,0.85,1005.4286925094381,0.1294088566520101
V3_sales_lagged,structural,0.9,1005.946088343597,0.12944670722301685
V3_sales_lagged,structural,0.95,1008.639693374309,0.1297179753433212
V3_sales_lagged,structural,1.0,1013.5745927430747,0.13022120239030657
V3_sales_lagged,struct_linear,0.0,1214.5696588328806,0.1594603811759019
V3_sales_lagged,struct_linear,0.05,1194.0951857769041,0.15656290853325888
V3_sales_lagged,struct_linear,0.1,1174.2904504253866,0.15376985624261946
V3_sales_lagged,struct_linear,0.15,1155.200825146454,0.15108701529891017
V3_sales_lagged,struct_linear,0.2,1136.8750043706143,0.14852035887513262
V3_sales_lagged,struct_linear,0.25,1119.3649677101057,0.14607601107562704
V3_sales_lagged,struct_linear,0.3,1102.7259057860047,0.1437602101110744
V3_sales_lagged,struct_linear,0.35,1087.0161024152053,0.14157926606566487
V3_sales_lagged,struct_linear,0.4,1072.2966666860048,0.1395394997327784
V3_sales_lagged,struct_linear,0.45,1058.63130483027,0.13764719002619258
V3_sales_lagged,struct_linear,0.5,1046.0858580332813,0.13590849398624985
V3_sales_lagged,struct_linear,0.55,1034.727873976078,0.13432937790295982
V3_sales_lagged,struct_linear,0.6,1024.6259829237745,0.13291552966417586
V3_sales_lagged,struct_linear,0.65,1015.8492271162761,0.13167227446269675
V3_sales_lagged,struct_linear,0.7,1008.4662422227501,0.13060448110745637
V3_sales_lagged,struct_linear,0.75,1002.5444675891193,0.129716484473097
V3_sales_lagged,struct_linear,0.8,998.1491945320547,0.12901199713650918
V3_sales_lagged,struct_linear,0.85,995.3426487169014,0.1284940376042375
V3_sales_lagged,struct_linear,0.9,994.1830693251703,0.12816486756524711
V3_sales_lagged,struct_linear,0.95,994.7238351895435,0.12802594244444812
V3_sales_lagged,struct_linear,1.0,997.012692719194,0.12807788187591623
