model,category,feature_set,lag_rule,n_features,n_lags,n_train,n_val,n_test,train_start,train_end,val_start,val_end,test_start,test_end,params,n_grid,scaler,seed,val_MSE,val_RMSE,val_MAE,val_R2,val_nRMSE,val_SMAPE,val_RMSPE,test_MSE,test_RMSE,test_MAE,test_R2,test_nRMSE,test_SMAPE,test_RMSPE,runtime_s,note
LR-XGB (residual),M01AE,B_rich,pacf_train,22,21,1459,312,314,2014-01-23,2018-01-20,2018-01-21,2018-11-28,2018-11-29,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,4.063296167159062,2.0157619321633846,1.5908391756024796,-0.01584145827802863,0.5216844423425749,43.83183715189777,8.815935401384824,4.79214177134234,2.189096108292722,1.6817489540488528,0.13561861003693432,0.570498209768618,48.93723108997458,3.8874946723935984,9.153,
Naive,N02BA,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,8.334103174603174,2.886884683288055,2.2893650793650795,-0.9287620753697006,0.9162404788269394,82.69963604275131,2.342371831447952,7.760276025236593,2.7857271986389107,2.1345425867507886,-1.0094483557731615,0.9089347145988727,77.96042411378919,4.514916652855951,0.0,
SeasonalNaive(s=7),N02BA,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,7.847873015873016,2.801405542914666,2.1787301587301586,-0.8162337960321493,0.8891110791114557,79.36972426456744,2.511528605299084,7.255528391167193,2.693608804404825,2.1228706624605675,-0.8787488419848966,0.8788780721489677,78.63586500450135,5.112774483243222,0.0,
LR,N02BA,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},1,none,42,5.2531433805716725,2.2919736867101403,1.905808851129704,-0.21573533668287714,0.7274274169407499,62.32415222541202,3.320251974157873,4.645671054039993,2.155381881254455,1.7629831366345512,-0.20295154845590968,0.7032639147317814,59.40873592073984,4.295684500120711,0.009,
GRNN,N02BA,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""sigma"": 0.1}",16,standard,42,5.213301722322168,2.2832655829583572,1.9006305333812652,-0.2065147789526034,0.7246636359011411,62.24704335804607,3.3513093760395285,4.623768603736487,2.150295003885859,1.7531511517077394,-0.197280120969741,0.7016041544252146,59.19671300313297,4.196035564455385,0.821,
P_NN,N02BA,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""sigma"": 0.1}",16,standard,42,5.181861104761905,2.2763701598733683,1.8381333333333332,-0.19923847465135225,0.7224751640907919,62.842367953886615,3.132793792948968,4.848780479495268,2.201994659279461,1.7082208201892748,-0.255544768039319,0.7184728598544481,60.77055192680704,3.3262507761812756,0.635,
RBFNN,N02BA,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""alpha"": 0.01, ""gamma"": 1.0, ""n_centers"": 10}",60,standard,42,5.2392808472975885,2.288947541403601,1.9062545266040554,-0.21252712964638598,0.7264669778762058,62.315856048118704,3.3826440171133956,4.644393855779555,2.155085579688091,1.7547118327739746,-0.20262083032989375,0.7031672366436363,59.18245712226259,4.243421207782378,5.777,
XGBoost,N02BA,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,5.331220175999178,2.3089435194476233,1.9189018702128577,-0.2338046548604915,0.732813308439296,62.54711440172541,3.317541156670962,4.67996274712004,2.163322155186333,1.7687966103057378,-0.21183105042881523,0.7058546890989322,59.417350130956606,4.196046041834413,5.19,
LR+XGB (average),N02BA,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,5.269391677474424,2.2955155580989697,1.9089730990296767,-0.2194956811613178,0.7285515373311592,62.391817889496714,3.3174637242462497,4.642014995094367,2.1545335910805306,1.7599684723316282,-0.2020048473832925,0.7029871322860668,59.28427802742773,4.244599881262028,5.089,
LR-XGB (residual),N02BA,A_lag1,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.8}",12,none,42,5.333321156054457,2.3093984402987844,1.9195163597968696,-0.23429088482031224,0.7329576913794631,62.55887301354617,3.3215966000967594,4.679212141682377,2.16314866379599,1.7681598041443223,-0.2116366884167371,0.7057980818520188,59.397783423409365,4.205068020253378,5.673,
Naive,N02BA,B_rich,pacf_train,1,1,1473,315,317,2014-01-03,2018-01-14,2018-01-15,2018-11-25,2018-11-26,2019-10-08,{},0,none,42,8.334103174603174,2.886884683288055,2.2893650793650795,-0.9287620753697006,0.9162404788269394,82.69963604275131,2.342371831447952,7.760276025236593,2.7857271986389107,2.1345425867507886,-1.0094483557731615,0.9089347145988727,77.96042411378919,4.514916652855951,0.0,
